,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
199,269,19428.17,20492,55475,2117,874,2844,9014.881,0.464010815,373,5370.73,4228,13212,357,151,446,1785.46,0.332442703,23,8034.29,2648,24474.8,376,68,650,4008.27,0.49889536,27,7912.23,1586,23010,660,61,885,2937.578,0.371270552,24,13889.38,6060,35370,743,227,1234,8186.73,0.589423718,176,2533.95,4676,4774,131,152,155,1265.15,0.499279781,40,4088.19,5360,13888,458,220,638,2124.07,0.519562447,108,8581.49,4334,25400,1032,202,1201,2418.84,0.281867135,132,8743.25,6592,31246,804,235,1152,2466,0.28204615,104,3153.78,0,10140,220,0,348,1397.03,0.442970023,58,31633.89,20856,110252,5093,1173,6406,15621.479,0.493820994,277,18377.26,8716,57420,2113,435,2712,8954.243,0.487245814,185,9720.84,7225.5,47404.6,732,244,1540,2416.41,0.24858037,120,4780.41,0,20515,148,0,258,2308.9,0.482992045,25,2227.49,0,7646,219,0,299,957.64,0.429918877,29
200,270,29906.59,37182,79002,2984,1567,3789,14514.298,0.485321061,402,9312.27,13440,13088,600,480,446,3107.77,0.333728511,28,6595,5366,17029.6,301,138,446,3163.37,0.479661865,24,7618.07,5330,19526,629,205,751,2910.138,0.382004628,24,12097.31,8150,38496,629,274,1255,7173.21,0.592959096,164,3377.17,5934,5748,169,187,186,1645.82,0.487337031,41,4699.8,11454,16408,514,451,749,2468.614,0.525259373,113,13046.94,5882,38146,1528,272,1798,3881.35,0.297491212,143,14577.92,9610,49390,1321,342,1854,4256.12,0.291956603,102,2952.38,0,11556,187,0,390,1405.68,0.476117573,60,44025.48,29760,137916,6772,1682,7938,22578.414,0.512848787,288,23321.43,14060,65766,2641,703,3108,11580.554,0.496562775,182,20131.68,14442.5,89211.5,1481,487,2931,5378.32,0.267157038,126,6466.92,0,25540,193,0,323,3247.63,0.502191151,34,3163.58,0,8616,303,0,338,1399.58,0.442403859,30
201,271,16064.52,23454,43682,1708,915,2072,7350.054,0.457533372,371,1677.35,2440,2956,104,87,99,586.34,0.349563299,15,2338.05,4542,6766.8,105,117,181,1163.27,0.497538547,24,3878.64,4862,10686,333,187,411,1372.192,0.353781738,21,17921.92,6978,59460,917,245,1951,10406.92,0.580681088,226,6197.7,5096,17398,359,163,608,2879.95,0.464680446,82,4951.17,6852,13814,517,273,609,2573.136,0.519702616,116,8170.1,4546,22726,965,210,1061,2248.47,0.275207158,141,7604.74,5122,25480,705,182,954,2194.45,0.288563449,99,2364.56,0,10344,180,0,354,958.76,0.405470785,58,24147.06,19632,85872,3884,1086,4892,11884.16,0.492157637,277,12542.51,7866,39908,1506,393,1892,5783.176,0.461086019,174,5491.09,5298,25268.7,448,167,778,916.18,0.166848476,88,4856.25,596,22270,156,7,254,2240.24,0.461310682,20,2450.66,84,7634,247,2,301,1017.92,0.415365657,28
202,272,30636.41,34528,82295,3228,1386,4031,14054.981,0.458767232,376,7143.11,5432,16344,482,194,561,2207.85,0.309088058,21,8103.43,8578,13607.6,381,221,370,3907.12,0.482156321,20,7754.29,8840,20410,653,340,785,2842.802,0.366610225,25,32130.31,11832,95586,1719,411,3356,18572.81,0.578046399,247,8313.73,6730,25118,486,208,892,3720.13,0.447468224,87,10494.33,11230,26724,1130,448,1229,5375.357,0.512215358,133,13558.33,6304,36730,1639,288,1773,3830.04,0.282486117,135,14296.13,10386,45592,1327,370,1714,3927.65,0.274735191,103,4684.55,72,16308,351,2,606,2093.97,0.446994909,61,47620.51,29060,163316,7646,1596,9420,23614.388,0.495886919,283,27326.78,11920,87584,3292,596,4123,12733.899,0.465986077,187,12365.49,6438.5,44713.3,914,213,1397,2934.46,0.23731045,92,6651.94,540,26640,207,6,305,3041.94,0.457301178,18,4626.93,0,13368,455,0,521,1971.57,0.426107592,30
203,273,15173.26,20898,44769,1718,859,2233,6620.225,0.436308677,368,2283.22,2352,5308,152,84,172,793.72,0.347631853,13,3324.98,4662,8676.8,170,120,236,1509.38,0.453951603,21,4747.49,4966,12792,419,191,492,1591.852,0.335303918,22,15103.17,8500,33000,767,282,1129,8950.4,0.592617311,168,5392.05,4448,17342,353,141,630,2260.4,0.419209763,85,5349.41,7174,16044,610,284,733,2615.3,0.488895037,115,7786.66,3096,27152,997,143,1280,1762.5,0.226348653,133,7721.07,6724,28116,761,232,1038,1833.48,0.237464497,100,2888.33,0,11976,210,0,444,1236.082,0.427957332,59,30642.65,19836,108168,5113,1122,6213,14724.297,0.480516437,302,13814.47,9640,44564,1706,482,2098,6278.575,0.454492644,176,3370.2,4302.5,13204,269,141,418,620.94,0.184244259,77,2290.05,595,11360,81,7,134,1073.66,0.468836925,25,2314.1,0,7112,244,0,278,877.1,0.379024243,31
204,274,12954.35,21396,34461,1293,850,1692,6362.291,0.491131628,365,1992.03,2100,3328,121,75,108,785.78,0.394461931,17,2507.7,4990,6228.8,112,129,168,1269.78,0.506352435,19,2828.66,5434,7176,231,209,276,1092.626,0.386269824,23,8938.9,5710,26814,450,196,906,5268.47,0.589386837,165,5163.95,5414,14550,302,172,529,2359.04,0.456828591,77,2686.5,6820,11328,296,276,514,1417.284,0.527557789,112,6399.63,3978,18188,743,191,849,1909.9,0.298439129,122,5941.03,4994,22802,541,175,876,1776.72,0.299059254,99,1784.39,0,10140,123,0,348,840.99,0.471303919,62,15355.19,11476,66620,2436,621,3824,7712.094,0.502246732,271,7167.72,4880,30360,844,244,1437,3493.829,0.487439381,172,5066.79,4642.5,17394.6,351,152,540,1410.04,0.278290594,85,1794.5,540,11050,62,6,129,877.04,0.48873781,16,2122.12,0,6984,209,0,273,907.87,0.427812753,24
205,275,24318.94,30966,60585,2534,1197,2919,11285.293,0.464053655,381,3596.06,4704,7952,240,168,268,1137.31,0.31626558,20,4456.21,5794,9370.8,208,149,251,2192.54,0.492019003,19,5903.6,5876,13936,480,226,536,2274.2,0.385222576,22,35349.87,12372,88626,1793,428,2974,20841.76,0.589585195,234,7300.86,6056,25060,489,194,958,3120.16,0.427368831,92,6178.08,10394,22768,714,411,1023,2986.011,0.48332346,133,9506.31,5150,24080,1126,239,1155,2785.72,0.293039045,146,11395.14,6458,38388,1071,233,1449,3135.26,0.275140104,104,3221.8,0,16116,201,0,522,1479.34,0.459165684,58,38894.77,21756,143304,6307,1197,8245,19109.335,0.4913086,287,18660.84,10640,53960,2137,532,2546,9075.999,0.486366048,174,10483.42,5330,35336.9,770,173,1092,2462.18,0.234864195,95,5332.15,540,20150,172,6,230,2375.64,0.445531352,22,3812.2,0,11846,393,0,464,1533.65,0.402300509,30
206,276,17619.56,22634,49998,1841,951,2474,8283.292,0.470119118,365,1551.27,2244,2648,100,80,89,532.27,0.343118864,17,2198.59,5398,6858.8,107,139,186,1015.77,0.462009743,20,3455.18,5226,9698,273,201,373,1403.542,0.406213859,23,21001.97,9890,59418,1060,341,2064,12482.19,0.594334246,231,5934.9,5288,16038,357,170,573,2573.8,0.433672008,87,4896.58,7946,14460,523,321,645,2501.496,0.510865951,113,7420.06,4626,21290,887,214,1003,2121.81,0.285955909,144,7825,5080,29070,728,184,1079,2312.14,0.29548115,104,2217.53,0,10140,154,0,348,1025.65,0.462519109,63,33991.67,16468,124884,5375,933,7110,16919.865,0.497765041,284,12112.93,9600,44270,1450,480,2085,5744.664,0.474258829,173,6811.19,5167,24788.1,498,167,776,1759.19,0.25827939,90,3648.3,540,15910,113,6,187,1762.38,0.483068827,21,4060.03,24,12612,409,1,495,1684.5,0.414898412,29
207,277,18980.34,20406,51638,1908,850,2424,9016.278,0.475032481,373,1805.86,2096,6032,120,75,204,621.61,0.344218267,19,3785.98,5402,9050.8,166,139,241,1909.94,0.504477044,19,3013.76,5512,8190,252,212,315,1115.404,0.370103791,23,21510.28,6678,60648,1063,229,2059,12848.45,0.597316725,226,8190.18,4128,18318,487,133,644,3841.83,0.469077603,83,6463.79,7988,21710,702,320,974,3339.468,0.516642403,133,9669.86,4656,27260,1148,219,1300,2833.59,0.293033198,134,9324.41,5838,31346,840,204,1161,2766.6,0.2967051,102,1842.04,0,10368,130,0,354,854.514,0.463895464,59,30413.17,23776,109536,4798,1317,6253,15272.519,0.502167942,298,15154.98,10240,47156,1761,512,2232,7286.664,0.480809872,173,9979.02,6116,35349.2,722,201,1082,2400.74,0.240578734,90,3805.52,484,18260,130,5,212,1697.16,0.445973218,22,2688.87,0,8074,263,0,317,1163.37,0.432661304,32
208,278,16856.8,21006,50002,1830,884,2438,7552.447,0.44803563,371,2670.78,4844,3036,177,173,101,842.78,0.315555755,19,3768.82,5488,8470.8,175,141,228,1850.48,0.490997182,20,3799.58,6006,8736,322,231,336,1375.486,0.362010012,21,21371.6,12826,73914,1104,437,2524,12653.28,0.592060491,227,10673.35,6426,34178,671,202,1299,4649.87,0.435652349,99,4197.71,7982,14466,459,326,647,2143.573,0.510652951,112,10274.49,5672,31236,1252,263,1486,2694.84,0.262284551,129,8950.42,8348,33068,858,302,1274,2449.75,0.27370224,102,3132.89,0,13728,235,0,498,1421.09,0.453603542,59,29747.03,15668,109720,4766,879,6281,14739.339,0.495489432,266,12915.92,7320,45680,1582,366,2173,5986.45,0.46349389,172,5860.58,4552.5,25396.2,453,149,781,1322.11,0.225593713,86,3837.32,540,15500,125,6,178,1747.99,0.455523647,16,3048.54,0,10048,311,0,394,1231.74,0.404042591,27
209,279,22863.85,31760,66633,2393,1341,3255,10439.561,0.456596811,391,4205.66,2800,10704,270,100,360,1525.66,0.362763514,23,4363.9,5784,8472.8,209,149,228,2076.63,0.475865625,21,5288.05,5226,13364,437,201,514,2012.098,0.38049905,23,15255.92,7592,33372,750,259,1111,9011.56,0.590692662,166,6501.4,4898,18032,385,156,630,2890,0.444519642,81,4844.57,8998,14672,526,360,662,2475.393,0.510962376,115,7856.86,5074,23256,997,234,1092,1855.2,0.236124864,142,9725.37,7434,31152,906,266,1145,2696.21,0.277234696,100,3975.07,0,10356,286,0,360,1674.02,0.421129691,60,27384.13,26064,104516,4418,1464,6019,13469.309,0.491865508,283,14524.04,14580,48494,1733,729,2291,6761.916,0.465567156,172,5733.84,5090,21299.1,424,165,649,1340.59,0.233803176,85,4027.12,540,17760,127,6,203,1863.12,0.462643279,22,2470.57,0,8736,261,0,341,945.47,0.382693063,28
210,280,32984.76,28346,96012,3288,1082,4583,15712.438,0.476354474,370,3461.72,2548,6992,216,91,225,1419.21,0.409972499,12,2798.41,5132,4924,120,132,128,1415.96,0.505987329,15,7000.86,5616,17264,565,216,664,2754.812,0.393496228,23,40927.46,16064,109230,2167,533,3784,23885.86,0.583614522,231,12069.35,4808,29182,756,148,1080,5259.85,0.435802259,83,8775.03,10184,23954,933,409,1108,4579.367,0.521863401,112,17132.42,5148,49296,2100,247,2379,4794.14,0.279828536,121,17507.28,4002,65784,1639,139,2504,5159.25,0.294691694,99,4453.34,0,16080,285,0,552,2029.023,0.455618255,61,53759.84,16516,190536,8503,892,10970,27316.32,0.508117584,294,25784.89,6360,88408,3012,318,4194,12626.576,0.489688961,182,14798.68,5045.5,59603.4,1073,172,1899,3881.14,0.26226258,90,7802.1,540,29850,238,6,340,3700.99,0.474358186,24,5718.55,0,15880,599,0,624,2297.15,0.40170148,33
211,281,29762.83,23352,82096,3166,991,3997,14019.342,0.471035248,378,10853.98,6048,23768,710,216,814,3691.24,0.340081703,23,11141.8,4864,20584.4,533,124,561,5434.91,0.487794611,19,8836.84,4472,23712,734,172,912,3274.008,0.370495335,24,68946.29,22540,141636,3445,708,4914,40569.53,0.588422234,247,3154,4766,8330,176,152,267,1406.76,0.446024096,53,8700.47,9502,29086,1023,394,1397,4390.558,0.504634577,127,18464.24,4968,53618,2235,221,2580,5314.06,0.287802802,139,14953.79,5758,58942,1420,198,2210,4250.19,0.284221592,108,5908.6,0,18996,412,0,672,2568.67,0.434734116,58,51990,24364,182268,8524,1370,10606,26015.588,0.500395999,285,26245.6,9000,84810,3121,450,4020,12654.369,0.482152018,178,14069.36,6310,54709.5,1089,213,1763,3454.11,0.245505837,94,7337.53,0,26560,216,0,309,3549.49,0.48374453,26,3298.07,0,9844,319,0,384,1440.62,0.436806981,25
212,282,20765.62,24292,53499,2258,994,2656,9586.74,0.461664039,379,2689.11,4480,2804,177,160,91,944.11,0.351086419,20,3787.94,6028,8832.8,180,155,238,1805.01,0.47651494,20,4666.45,5486,10946,381,211,421,1793.746,0.38439199,21,17802.41,8900,51306,908,309,1716,10489.14,0.589197755,226,7208.17,5332,17962,432,168,647,3280.98,0.455175169,86,6094.9,7906,15860,657,320,709,3158.71,0.518254606,115,6656.92,4826,19350,798,224,903,1845.18,0.27718224,154,8020.65,7810,26310,771,275,974,2012.6,0.250927294,105,2407.1,0,10308,172,0,354,1008.4,0.41892734,63,29358.93,20724,111072,4755,1166,6360,14402.196,0.490555889,279,13491.69,10520,43014,1612,526,2038,6436.31,0.477057359,174,4604.35,5846,19325.1,352,190,588,964.21,0.209412838,89,2422.35,540,17040,92,6,200,1056,0.435940306,21,2255.58,0,6704,226,0,260,929.88,0.412257601,28
213,283,15252.4,17582,48458,1723,729,2413,7049.951,0.462219126,368,4411.53,4592,9928,293,164,341,1385.79,0.314129112,26,6256.52,3256,13754.8,304,84,366,2911.77,0.465397697,19,5829.39,3302,15106,487,127,581,2151.492,0.369076696,24,14615.65,9372,34758,698,302,1146,8645.87,0.591548785,165,1678.91,5264,1116,100,166,35,702.06,0.418164166,24,4101.97,7164,12068,440,294,553,2088.665,0.50918583,107,7075.27,3980,23102,833,183,1081,1964.31,0.277630394,131,6890.41,6000,27924,618,206,1013,1975.11,0.286646223,99,2795.41,0,10140,206,0,348,1214.67,0.434523022,58,30992.86,18612,108636,4981,1053,6311,15601.109,0.50337752,280,16104.75,8880,50142,1922,444,2364,7520.542,0.466976637,180,7012.2,6384.5,29678.8,552,222,964,1572.91,0.224310487,94,3960.5,45,17510,116,1,219,1960.6,0.495038505,23,1392.79,0,4432,136,0,173,593.69,0.426259522,23
214,284,17722.49,23496,45349,1863,957,2211,8363.303,0.471903384,375,1970.94,2720,6608,127,97,222,713.94,0.362233249,24,3014.14,5408,8580.8,148,139,229,1367.59,0.453724777,21,2757.26,5590,8034,232,215,309,1002.312,0.363517405,23,21821.65,14000,64434,1092,455,2160,12913.73,0.591785222,232,6595.53,5942,24228,408,191,906,2909.43,0.441121487,107,4192.87,6800,14010,451,275,624,2158.522,0.514807757,113,8578.65,5516,24116,1036,257,1130,2333.11,0.271967034,138,8588.38,7116,31476,827,250,1163,2188.99,0.254878103,102,2700.34,0,10140,201,0,348,1142.422,0.423065984,59,29509.06,17772,110924,4673,990,6319,14748.032,0.499779796,280,12278.06,9448,42146,1495,472,1990,5704.415,0.464602307,174,5565.58,5649,22856.7,426,181,703,1287.7,0.231368519,90,3390,592,13050,103,7,153,1679,0.495280236,17,3285.45,84,8580,317,2,335,1446.1,0.440152795,28
215,285,20242.81,24306,64545,2140,1044,3087,9423.779,0.465537097,391,2466.26,2520,3912,157,90,131,848.77,0.344152685,16,4392.12,5392,9466.8,205,139,254,2122.9,0.483342896,22,4071.65,5148,11154,333,198,429,1558.692,0.382815812,23,26105.35,11202,67452,1338,386,2311,15448.21,0.59176414,227,6921.16,5190,20244,432,167,725,2967.5,0.428757607,83,5333.51,7824,16514,584,314,741,2686.407,0.503684628,114,9712.42,4968,26570,1174,233,1267,2717.62,0.27980874,139,9807.13,9070,29548,918,328,1113,2761.43,0.281573712,101,3200.68,0,11088,211,0,378,1458.9,0.455809391,59,33763.41,20888,123156,5415,1159,7072,16702.607,0.4946955,291,15486.97,10120,51360,1850,506,2424,7513.272,0.485135052,172,6762.74,4692,25959.8,521,155,806,1444.36,0.213576154,89,4087.52,652,18040,134,8,205,1874.49,0.458588582,23,3269.83,0,10456,343,0,411,1306.68,0.399617105,31
216,286,22379.32,23210,59292,2402,959,2858,10143.89,0.453270698,376,1959.55,2212,3036,131,79,102,612.06,0.312347223,17,3146.61,5030,9780.8,150,129,262,1455,0.462402395,22,5102.65,5564,11804,440,214,454,1816.66,0.356022851,22,23932.39,8862,68292,1225,303,2347,14049.4,0.587045423,231,7896.66,5512,22866,510,177,836,3422.91,0.433463008,88,6364.02,11366,19248,694,456,854,3128.619,0.491610491,114,11321.8,4196,34434,1392,193,1645,3055.25,0.2698555,137,9255.97,5008,33564,891,175,1256,2441.42,0.263767061,105,2473.52,0,14628,201,0,528,1042.407,0.42142655,62,31350.12,24788,123380,5074,1386,7077,15393.756,0.49102702,281,15478.24,12036,54546,1827,601,2580,7401.322,0.478175942,183,7023.09,4649,26964.7,509,149,841,1763.07,0.251039073,92,4326.1,540,16690,134,6,188,2023.76,0.467802409,19,3552.45,0,10762,359,0,420,1424.65,0.40103309,25
217,287,13571.69,22264,43234,1512,942,2311,6332.572,0.46660158,371,3395.34,2464,9488,234,88,323,1052.08,0.309859985,24,5362.71,3884,13498.8,265,99,360,2468.16,0.460244913,21,6559.52,4498,17186,554,173,661,2409.856,0.367382979,25,15880.48,6020,41976,758,200,1445,9491.56,0.597687224,168,1724.22,4626,1202,97,150,38,777.48,0.450916936,31,4391.76,6394,14586,480,259,689,2330.377,0.530624852,105,5748.33,4942,16792,694,234,814,1719.13,0.29906599,135,6767.19,5610,23862,630,195,885,1940.36,0.286730534,97,2226.29,0,9084,165,0,324,995.39,0.447107071,55,25815.61,16288,99348,4199,920,5756,12734.726,0.493295568,305,13781.03,8862,45710,1637,443,2161,6703.083,0.486399275,175,8854.51,9659.5,42378.7,679,328,1370,2321.39,0.262170352,118,4226.69,52,17065,135,1,213,1959.19,0.463528198,20,1524.21,0,5344,149,0,208,631.31,0.414188334,25
218,288,15707.65,23330,41590,1712,955,2078,7254.93,0.4618724,363,4351.49,4228,9600,284,151,335,1404.26,0.322707854,22,5121.2,4812,10936.8,243,124,294,2472.45,0.482787237,23,6588.1,4368,16198,557,168,623,2391.58,0.363015133,24,23191.75,7442,60492,1175,267,2077,13721.03,0.591634094,259,2491.63,3338,5688,131,103,186,1176.14,0.472036378,41,5579.36,6384,15624,614,257,712,2879.914,0.516172823,114,9828.67,2880,29304,1172,132,1388,2917.17,0.296802111,139,7747.76,2608,31414,730,90,1180,2261.84,0.291934701,102,2897.69,0,10488,204,0,366,1316.49,0.454323962,59,33580.74,14720,118360,5422,817,6780,16525.035,0.492098596,286,15446.73,5840,48844,1856,292,2315,7349.111,0.475771312,173,13243.63,5828,60371.8,984,197,1981,3457.61,0.261077212,120,4150.44,0,13740,132,0,164,1925.7,0.463974904,18,1959.29,42,6192,194,1,241,880.99,0.449647576,28
219,289,21476.94,32058,60255,2386,1332,3066,9451.515,0.440077357,389,2566.88,2128,6500,177,76,225,725.12,0.282490806,17,4554.46,4124,12094.8,220,106,325,2134.88,0.468744923,20,5365.77,3250,16536,467,125,636,1835.116,0.342004223,22,25346.7,12238,70890,1259,408,2454,14929.08,0.588995017,254,7919.97,4328,25548,524,136,931,3225.32,0.407238916,102,6435.18,7488,16368,708,294,731,3190.498,0.495790017,116,7149.5,3612,23712,889,166,1111,1794.9,0.251052521,131,5478.62,6962,27046,533,242,998,1404.02,0.256272565,101,2522.79,0,13596,199,0,540,1067.283,0.423056616,76,27861.72,22724,115884,4688,1265,6659,13218.601,0.474435929,290,12308.46,12620,45776,1502,631,2157,5675.245,0.461084896,174,5937.02,4873.5,22968.6,433,159,706,1468.22,0.24729915,83,3654.56,0,18270,112,0,215,1721.68,0.471104593,16,1754.38,0,6700,187,0,262,647.37,0.369002155,32
220,290,13540.5,20706,34487,1411,830,1710,6562.697,0.484671689,358,1529.23,3920,2876,101,140,97,470.48,0.307658102,17,2657.15,5328,4706.8,120,137,131,1308.31,0.492373408,21,2749.57,5616,7280,233,216,280,1010.74,0.367599297,23,14839.42,4812,33702,703,158,1100,8985.29,0.605501428,164,8457.4,3882,16310,488,121,591,3978.75,0.470446,82,4605.56,7620,12196,475,306,544,2381.501,0.517092601,116,4161.19,4680,13850,471,225,643,1273.64,0.306075906,126,-88.91,112,0,-9,4,0,-3.91,0.043977055,24,1799.5,0,10140,113,0,348,812.05,0.45126424,59,19506.23,13020,69212,2983,721,3937,9924.777,0.508800368,284,7609.39,5840,27202,882,292,1299,3759.125,0.494011347,174,3933.6,4170,15655.2,290,134,501,1094.61,0.278271812,82,2751.04,0,11460,91,0,138,1332.04,0.484195068,13,1120.08,0,3700,114,0,146,484.23,0.432317334,24
221,291,21814.98,15836,61212,2465,614,3072,9803.297,0.449383726,369,3044.97,2016,7996,206,72,277,943.22,0.309763315,24,4197.12,5054,11903.6,205,130,321,1996.45,0.475671413,20,5600.25,4472,16640,479,172,640,1989.072,0.355175573,23,37149.93,15944,93090,1951,492,3202,21643.58,0.582600829,237,9834.69,5570,29420,630,169,1115,4219.57,0.429049619,126,9348.42,5668,26402,1060,221,1216,4703.319,0.503113788,132,10991.88,3448,34294,1348,160,1645,3066.79,0.279005047,153,10990.96,5476,39572,1034,189,1466,2932.21,0.266783793,105,3040.83,0,13908,209,0,480,1304.678,0.429053252,62,38385.35,12620,141956,6303,691,8136,18635.814,0.485492877,288,16769.72,4080,57868,2049,204,2745,7793.829,0.46475606,177,7318.25,4230.5,30675.6,525,134,947,1776.88,0.242801216,90,5432.91,65,24320,166,1,296,2574.95,0.473954106,24,2644.26,0,8518,281,0,331,986.26,0.372981477,29
222,292,21490.51,22440,59315,2374,903,2980,9759.601,0.454135383,365,3590.69,4144,9540,242,148,324,1118.7,0.311555718,22,4440,4590,10924.8,215,118,295,2088.65,0.470416667,19,4988.89,5330,15054,458,205,579,1540.162,0.308718372,22,30209.75,14504,70206,1588,475,2546,17635.07,0.583754252,240,9352.29,4776,29954,626,147,1125,3815.99,0.408027339,106,8501.95,9242,20930,944,367,944,4218.301,0.496156882,118,10273.62,2646,34276,1352,130,1669,2453.91,0.238855438,140,3749.89,8048,23872,379,281,897,857.75,0.228740043,106,3003.38,0,13524,219,0,462,1194.69,0.397781832,58,35340,22908,138928,5908,1283,7940,16892.321,0.477994369,280,19559.15,10740,72026,2365,537,3443,9047.56,0.462574294,180,5325,4567.5,18410.7,397,142,582,1237.01,0.232302347,83,3139.97,0,14180,97,0,164,1537.12,0.489533339,23,2918.87,0,9696,314,0,380,1116.42,0.382483632,30
223,293,22303.87,22460,68317,2508,929,3407,9850.2,0.441636362,386,4612.32,6020,10704,305,215,366,1534.82,0.332765289,21,5744.45,3798,13659.6,265,97,369,2841.96,0.494731436,19,4448.91,4680,12402,370,180,477,1654.724,0.371939194,22,30223.04,15064,69654,1551,475,2456,17616.45,0.582881471,227,9676.28,4686,28720,627,139,1093,4051.77,0.418732199,103,6612.56,7110,17978,757,276,834,3308.044,0.500266765,122,8542.05,4026,22370,1054,183,1079,2348.67,0.274953905,131,9225.21,5154,34652,898,176,1330,2404.44,0.260637969,104,2550.26,0,11088,188,0,378,1032.88,0.405009685,58,36186.94,17928,116232,6045,975,6757,17487.272,0.483248155,302,13409.57,6380,47898,1649,319,2262,6129.935,0.457131362,172,6215.38,4490,22674.2,467,148,708,1375.47,0.221301031,84,2301.77,110,8870,80,2,104,1125.65,0.489036698,23,2349.75,0,7728,248,0,303,907.8,0.386338972,28
224,295,15176.22,21920,41869,1594,905,2091,7137.647,0.470317839,368,2811.37,2492,7684,180,89,258,1020.36,0.362940488,18,4464.65,4576,9066.8,209,118,244,2172.3,0.486555497,22,4527.45,4004,14144,379,154,544,1683.782,0.371905156,24,11473.71,5564,29436,562,190,991,6885.74,0.600131954,161,2470.32,4302,4498,126,140,143,1198.47,0.485147673,44,3132.77,7714,10690,334,312,486,1630.026,0.52031461,110,6393.49,3458,18682,732,167,882,1940.84,0.303565033,128,7297.7,5178,24556,679,182,907,1956.2,0.268057059,103,2046.73,0,10140,140,0,348,914.72,0.446917766,59,26895.15,19236,91460,4234,1066,5272,13470.421,0.500849447,294,13854.2,8180,43698,1642,409,2079,6598.388,0.476273477,172,11175.94,8476,55272,829,286,1792,2889.34,0.258532168,119,2338.81,112,10890,64,2,129,1303.92,0.557514291,33,1922.61,0,5708,189,0,225,822.61,0.427861085,29
225,296,21043.31,26912,54683,2267,1134,2725,9773.621,0.464452646,367,5277.83,4984,12240,345,178,428,1682.84,0.31885074,19,8167.33,8080,23582.8,390,208,613,3817.63,0.467426931,25,8493.26,9828,18538,751,378,713,2866.214,0.33746924,22,18867.98,8210,40740,940,265,1341,10981.74,0.582030509,179,5537.54,4960,16078,341,154,559,2448.99,0.442252336,86,5358.31,9778,14408,563,398,650,2778.306,0.518504155,114,7698.19,3852,22458,892,179,1062,2315.34,0.300764206,133,6122.49,2470,20868,535,92,764,1847.85,0.301813478,101,2931.42,0,10248,197,0,354,1331.67,0.45427472,59,37691.51,22940,127868,6030,1272,7314,18668.595,0.495299737,274,18704.55,9820,59028,2248,491,2773,8646.694,0.462277574,181,4837.91,4126,18743.6,360,131,594,1175,0.242873472,85,3480.63,0,20590,121,0,253,1668.06,0.479240827,29,2179.54,0,6576,211,0,260,952.59,0.437060114,26
226,297,11860.8,20488,34176,1248,802,1625,5537.891,0.466907038,349,4693.8,3056,9944,290,109,341,1732.3,0.369061315,19,6184.37,4052,12582.8,294,104,335,2918.65,0.471939745,19,5336.82,5304,12324,432,204,474,2098.152,0.39314648,22,12195.42,5058,28584,601,169,959,7152.47,0.586488206,166,5339.51,5580,14884,322,179,517,2321.86,0.434845145,81,4282.21,5776,12152,458,231,546,2165.51,0.50569916,112,7641.46,3346,22900,908,160,1090,2274.62,0.297668247,121,6090.43,4796,19148,541,166,722,1917.33,0.314810284,99,3061.62,0,10140,225,0,348,1253.39,0.40938784,59,22196.69,14716,74440,3471,819,4215,11143.01,0.502012237,268,10950.56,4940,35088,1252,247,1664,5474.835,0.499959363,173,5130.56,4742.5,15730.6,366,148,505,1523.39,0.296924702,81,3189.07,0,16460,107,0,205,1412.31,0.442859517,17,1085,0,3504,108,0,138,451.1,0.415760369,24
227,298,16543.82,21266,41548,1725,884,1999,7661.528,0.463105135,364,1845.43,2216,4312,124,79,141,604.18,0.327392532,15,3993.48,4940,8586.8,187,127,232,1972.3,0.493880024,20,4135.18,5278,10114,345,203,389,1532.766,0.37066488,22,14305.47,7330,33828,712,243,1123,8425.68,0.588983095,167,7836.41,4376,17482,469,139,610,3575.86,0.456313542,105,4950.38,7014,14672,530,281,647,2580.738,0.521321192,115,7428.1,4578,22648,903,209,1049,1921.25,0.258646222,127,8990.6,6278,30900,844,216,1146,2414.4,0.268547149,102,2713.02,0,10248,192,0,354,1180.27,0.435039181,58,27438.97,18636,99776,4448,1045,5699,13448.094,0.490109286,288,12366.76,9200,40502,1473,460,1901,5850.431,0.473077103,173,7266.16,5066,26964.6,554,160,836,1552.41,0.2136493,88,3532.1,540,17330,122,6,196,1564.09,0.442821551,16,2476.48,-38,7764,260,-1,305,973.79,0.39321537,29
