Store,APT 9,,,,,,,,,CHAPS,,,,,,,,,CROFT & BARROW,,,,,,,,,GLORIA VANDERBILT,,,,,,,,,JENNIFER LOPEZ,,,,,,,,,LEE,,,,,,,,,SONOMA,,,,,,,,,TEKGEAR,,,,,,,,
,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH,Sales $,BOH $,Receipts  $,Sales Units,BOH Units,Receipts Units,Profit $,Profit %,CC Count w/ BOH
288,20724.83,23458.86667,51720,1279,654,1180,7099.468,0.342558564,119,30215.55,39070.26667,85212,1173,757.6666667,1292,7570.76,0.250558405,73.16666667,67232.03,72514.98667,158308,5299,2372,4469,24786.575,0.36867212,236.8333333,13518.51,13077.41167,32299.51,613,333.6666667,749,4805.29,0.355460032,36,6890.07,11775.8,21154,307,228.8333333,374,3238.03,0.469956038,45.33333333,10763.43,13221.50833,16867.16,428,337.3333333,384,2847.93,0.264593164,30.16666667,23492.61,23006.93,57180,1794,839.3333333,1665,9030.332,0.384390325,119.5,12901.53,11732.66667,35934,1048,408.6666667,1095,5781.422,0.448119099,70.83333333
289,21209.07,30738.26667,70702,1323,783.3333333,1594,7472.074,0.352305594,123.8333333,20376.77,37410.41667,58931,945,712.5,903,2373.6,0.116485586,65,54112.49,70348.17167,141318,4156,2501.333333,4133,20630.378,0.381249837,226.6666667,13406.69,14862.51833,31381.71,613,362.6666667,729,4663.46,0.34784574,37.83333333,5308.52,13749.76667,24586,245,281.3333333,432,2400.298,0.452159547,44.83333333,4322.74,9209.976667,8233.14,198,237.1666667,186,645.74,0.149382105,23.66666667,28169.12,33029.13167,77816,2240,1082.166667,2146,10097.518,0.358460541,127.5,12246.67,11597.93333,36114,1034,334.6666667,1121,5507.374,0.449703797,68.33333333
290,12141.78,22875.86667,44788,803,601.5,1040,3762.211,0.309856627,110.3333333,9831.41,14059.25,24534,413,283.5,374,2031.76,0.206660082,46.66666667,40951.51,56928.8,102542,3147,1688.166667,2863,16228.603,0.396288269,229.8333333,5635.14,8872.618333,12771.03,277,233.5,297,1656.38,0.293937684,32,4376.19,12288.7,18070,213,231.1666667,317,1831.89,0.418603854,39.5,4257.87,7006.361667,7093.38,174,172.6666667,162,1103.14,0.259082593,22.33333333,19080.57,22351.83333,48732,1538,723.5,1370,7029.433,0.368407914,119,7788.23,11909.63333,26098,643,411,810,3623.042,0.465194531,72.83333333
291,25625.71,27551.53333,77614,1489,661.8333333,1731,9652.031,0.376654188,121.6666667,26065.32,34395.31667,77580,1095,629.3333333,1174,5032.94,0.193089515,66.16666667,67956.41,67600.36667,182156,5017,1918,5408,28955.357,0.426087208,216.6666667,13613.82,12967.77833,28823.33,617,326.1666667,667,4587.3,0.336959061,37,10193.33,17099.1,36970,426,314.8333333,652,5019.669,0.492446433,54.5,7855.38,8200.218333,12078.24,330,198.8333333,276,1692.64,0.215475254,20.33333333,35198.04,33635.53333,96476,2679,1048.833333,2895,13935.127,0.395906335,124,16576.97,15437.33333,53520,1363,490,1643,7551.153,0.455520701,67.16666667
292,29362.51,39952.63333,87724,1802,999.5,1953,10378.4,0.353457521,134,20364.15,38126.05,65733,1016,720.6666667,997,948.86,0.046594628,68.83333333,52573.17,65671.44333,142858,4262,1986.166667,4164,19194.706,0.365104596,229.1666667,8216.75,9260.473333,16466.19,403,232.6666667,381,2368.26,0.288223446,32.83333333,7608.36,20518.93333,33922,350,379.3333333,597,3439.04,0.452008054,56.83333333,4839.05,7691.416667,9096.95,222,188.8333333,205,775.8,0.160320724,20,35813.82,43062.13667,96970,2886,1369.666667,2769,12947.989,0.361536105,137.8333333,10812.86,12759.7,31190,973,445.3333333,977,4431.059,0.409795281,75.16666667
293,32378.83,33586.1,84128,1968,1003.333333,1891,11854.694,0.366124841,136,25566.22,40495.48333,72410,1247,936.5,1090,1559.43,0.06099572,67.5,72210.06,72672.48667,176480,5642,2322.166667,5262,28612.612,0.396241355,237.8333333,14622.59,12759.195,30655.88,673,329.6666667,712,4922.34,0.336625728,37.66666667,12457.44,17578.8,33600,499,327.5,589,6415.266,0.514974666,54.5,7801.39,8629.541667,11931.28,339,221.1666667,272,1604.14,0.205622331,26,37317.56,38701.81833,98398,3124,1354.5,2945,12808.092,0.343218903,131.3333333,14164.66,12563.5,38352,1198,461.8333333,1185,6233.251,0.440056521,75.16666667
295,10635.09,16386.93333,28088,750,420.3333333,644,2660.551,0.250167229,86.5,10553.13,16636.26667,29169,488,339.1666667,449,1321.17,0.125192242,50.66666667,30724.99,39921.13,67488,2268,1168.166667,1918,12013.623,0.391004944,190.3333333,6351.89,8220.401667,10956.44,284,196.3333333,256,2360.12,0.37156185,29.83333333,3958.52,9931.9,13794,238,194.6666667,241,1145.504,0.289376838,37.33333333,1991.72,2965.136667,2609.42,151,83.83333333,58,-657.02,-0.329875685,12.5,12333.22,18347.49833,30224,1138,602.1666667,873,3714.803,0.301203011,106.8333333,6574.77,10833.2,24282,560,367.1666667,765,3043.059,0.462838852,68.5
296,25356.14,23466.46667,61058,1463,580.6666667,1375,9811.994,0.38696718,125.5,22746.47,35486.85,52996,963,649.1666667,808,4283.62,0.18832021,69.5,54781.21,50884.45667,124404,3998,1486.166667,3500,22951.326,0.418963473,226.6666667,14070.69,11884.99,29459.16,611,287,684,5487.43,0.389990114,37,8044.66,12071.3,24230,340,222.6666667,432,3993.63,0.496432416,45.5,8654.28,10676.1,14843.64,366,254.3333333,336,1882.27,0.217495852,23.83333333,31472.4,29855.535,74220,2419,923.1666667,2154,12547.192,0.398672869,133.8333333,16056.11,13064.83333,47946,1327,424.1666667,1482,7190.103,0.44781102,75.66666667
297,20771.13,25645.5,56126,1166,623.3333333,1280,8412.897,0.405028374,114.6666667,15454.4,23171.48333,36070,655,435.5,562,2836.3,0.183527021,65.33333333,43888.5,52190.19,110582,3153,1509,3160,18736.373,0.426908484,206.3333333,9202.82,10191.31333,20893.16,398,243.8333333,484,3426.82,0.372366296,34.83333333,6376.92,12635.6,21966,256,237.3333333,389,3390.328,0.531656035,45,6147.69,7710.611667,8407.09,259,188.3333333,191,1460.93,0.237638853,20,26906.18,33143.165,70644,2095,1002,2064,10240.091,0.380585092,131,11938.31,10205.73333,35368,957,329.3333333,1096,5544.008,0.464388008,61.33333333
298,21814.59,34703.63333,60880,1410,1026,1354,7045.581,0.322975632,136.3333333,13261.61,24763.23333,46599,572,533.1666667,707,2203.52,0.166157804,63,53365.78,61421.535,129862,4103,2032.333333,3816,21583.899,0.404452048,235.1666667,9633.07,11280.12167,19894.4,452,301.8333333,460,3118.56,0.323734801,37.5,8075.92,16899.06667,24052,420,390,425,3171.521,0.392713276,52,5604.91,7446.106667,8770.01,223,191.1666667,199,1409.16,0.251415277,19.5,25340.21,32135.06667,68564,2106,1114.166667,1944,9105.881,0.359345128,133.1666667,9578.92,12382.5,33848,793,423,1042,4281.362,0.446956651,72.16666667
299,30730.98,38581.9,72718,1856,1003.666667,1636,11152.151,0.362896042,144,21517.31,25993.5,49610,800,508,762,5939.78,0.276046588,60,79347.53,82869.43333,187260,6024,2527.333333,5417,33201.345,0.418429471,231,15802.11,12423.535,30023.03,726,301.3333333,697,5408.89,0.342289099,38.5,11544.32,16921.93333,30756,544,332.3333333,540,5180.732,0.448768918,56,7562.14,7353.311667,11280.44,291,179,256,2112.63,0.279369332,20.33333333,42260.1,40494.69333,98952,3184,1358.666667,2868,17069.381,0.403912461,135.8333333,15452.9,13670.4,44366,1285,467.5,1389,7118.623,0.46066583,69.5
301,14173.31,20247.86667,45218,877,577,1039,4898.722,0.345630061,109.1666667,15254.21,26135.88333,38210,687,521.8333333,594,2134.92,0.139956117,66.66666667,45425.19,59179.66333,113832,3621,1833.5,3266,16433.851,0.361778366,233.1666667,7929.65,9634.381667,16163.25,353,225.6666667,375,2850.38,0.359458488,32.5,5419,11264.7,19008,251,218.6666667,335,2493.731,0.460182875,44.16666667,8102.74,11570.08667,7726.23,322,282.1666667,177,2387.99,0.294713887,29.66666667,19872.56,20978.36333,50810,1521,666.6666667,1464,7821.72,0.393593981,115.1666667,9092.88,10102.83333,28490,745,338,881,4117.162,0.452789655,65.66666667
302,12939.73,22352.46667,42758,956,599.1666667,995,3372.325,0.26061788,111.6666667,14554.97,24217.98333,43365,694,497.6666667,673,1318.79,0.090607538,64.83333333,38549.83,51034.76333,94294,3178,1644.833333,2799,13153.295,0.341202413,230.1666667,7554.3,12312.7,19705.97,370,307.1666667,452,2259.41,0.29908926,35.16666667,5160.94,11337.83333,17952,256,229.5,314,2170.471,0.420557302,40.83333333,6343.03,8951.79,8606.45,283,227,190,1320.77,0.20822383,26.33333333,17285.39,25576.56667,47206,1542,850.6666667,1436,5240.986,0.303203225,129.6666667,6727.64,9334.666667,24994,546,312,787,3168.546,0.470974368,62.83333333
303,19581.33,22503.96667,52084,1155,574,1187,7223.404,0.368892409,111.1666667,10848.17,13444.75,29228,481,248.8333333,456,1749.06,0.16123088,45.16666667,50078.03,56213.46,127724,3786,1686.166667,3821,19810.241,0.395587466,233.6666667,8847.19,9946.596667,21257.52,386,245.1666667,490,3458.69,0.390936557,34.66666667,6061.65,10546.43333,19264,281,199.1666667,343,2774.911,0.457781462,41.83333333,5845.21,7222.425,11262.14,246,172.8333333,246,1281.2,0.219188019,19.83333333,22706.78,25782.15667,58102,1821,811.8333333,1773,8600.577,0.378766915,125.8333333,9230.57,11788.16667,27724,786,399.3333333,872,4115.062,0.445808005,73
304,22861.65,34035.16667,66818,1426,818.5,1512,7876.384,0.344523864,127.3333333,20338.92,29086.15,51660,812,510.8333333,800,4814.81,0.236728892,69.16666667,55115.18,69327.66667,145780,4031,2026.833333,4134,22116.465,0.401277198,233.3333333,10440.24,12907.985,27659.58,467,312.8333333,642,3732.49,0.357509981,35.83333333,8948.19,14117.1,26902,374,262.3333333,474,4513.538,0.504407931,45.33333333,8148.55,9791.011667,12966.04,326,235.1666667,296,2098.3,0.257505937,20.83333333,36116.98,40110.435,98114,2676,1205.5,2823,14595.997,0.404131159,133.8333333,14247.83,18641.76667,46772,1063,548.5,1344,6710.537,0.470986599,85.66666667
305,24832.26,35733.4,69452,1501,854.3333333,1575,9179.97,0.3696792,133.6666667,27690.62,40117.83333,71813,1132,737,1095,5866.69,0.211865606,72.5,62630,77368.93,162086,4800,2235.166667,4546,24350.959,0.388806626,223.5,13150.96,12262.79833,26735.8,558,291.3333333,620,5199.96,0.395405354,36.5,8107.46,15539.5,28188,348,285.3333333,494,3939.053,0.485855373,48.66666667,8876.08,9328.931667,13409.95,349,224.3333333,305,2291.33,0.258146614,21.5,38653.68,39132.4,97350,2979,1193.833333,2848,15439.851,0.399440648,131.5,13612.22,16972.53333,42420,1143,555,1326,6340.793,0.46581623,77.16666667
306,23806.46,28720.36667,60528,1454,710.8333333,1377,8674.242,0.36436505,122.6666667,29979.63,40331.01667,73510,1258,712,1122,5936.33,0.198012117,74.5,58443.75,60183.06333,142872,4418,1792.166667,4017,23174.193,0.396521322,220.1666667,10887.45,10657.98,21846.94,488,253,506,3899.47,0.35816192,35.33333333,10499.56,15418.63333,30310,443,284.6666667,535,5264.989,0.501448537,52.33333333,5560.08,6320.495,5932.65,245,153.3333333,135,1005.09,0.180768982,24.83333333,32201.64,31356.50333,79834,2422,903.1666667,2298,12609.986,0.391594527,124.1666667,12198.24,12478.13333,35706,1015,395.3333333,1109,5507.9,0.451532352,67.5
307,24532.27,29738.7,69944,1427,767.8333333,1569,9185.528,0.374426337,127.3333333,17708.21,23645.21667,38986,712,441,598,4030.72,0.227618715,68.66666667,55058.98,55495.5,129554,4116,1648.833333,3628,21851,0.396865325,230,13923.96,12453.78,32080.57,614,288,743,5119.97,0.36770933,34,7445.21,14483.6,25994,328,275.6666667,458,3501.137,0.470253626,45.33333333,12091.87,16454.32667,20143.37,477,400.3333333,463,3359.41,0.27782386,27.83333333,37968.86,33864.32833,97656,2781,1163,2920,15822.386,0.41672007,129.6666667,16645.15,16617.03333,49778,1303,495.6666667,1428,7525.741,0.452128157,84.66666667
308,21774.67,30194.53333,64984,1305,739.3333333,1473,8003.544,0.367562126,124.6666667,21541.28,30316.33333,51511,976,595,787,2954.66,0.137162694,64.16666667,62862.29,71115.34,154724,4935,2085.833333,4501,23776.902,0.378237923,226.6666667,16161.85,15501.53833,37317.33,711,369.3333333,867,6034.36,0.373370623,37.16666667,7843.26,14381,25730,346,267,456,3650.737,0.465461683,49.5,12745.24,10877.94167,18139.86,504,257.6666667,414,3281.75,0.257488286,22.83333333,27661.57,34636.13,81464,2187,1025.5,2356,10546.578,0.381271851,128.1666667,11385.28,10014.7,31526,936,322,983,5280.482,0.463799046,67
310,17407.75,24539.5,54176,1036,609.8333333,1228,6498.527,0.373312289,113,21893.83,36497.08333,60901,1076,789.8333333,925,1685.39,0.076980135,66.5,54829.77,55812.43333,135146,3913,1724.5,3926,23500.912,0.428615914,213,12810.95,13544.77167,28829.31,553,324.5,669,5002.72,0.390503437,38,4800.71,11882.33333,19840,232,236,353,2043.405,0.425646415,43.33333333,8247.27,8864.42,12621.14,320,223,286,2285.77,0.277154743,24.5,24797.38,27400.51667,67818,1864,890.8333333,1918,9862.584,0.397726857,120.6666667,9858.15,15759.2,37856,853,542,1210,4428.678,0.449240273,83.5
311,18190.89,23400.26667,54132,1107,598,1233,6501.93,0.357427811,119.8333333,16276.22,25241.03333,37645,705,496.1666667,573,2768.83,0.170115051,69.66666667,55486.9,60263.86833,138142,4253,1867.333333,3900,21239.959,0.382792317,231.8333333,8599.82,8967.708333,16781.1,397,221.5,390,2922.57,0.339840834,33,4818.64,12934.56667,21282,242,249,374,1937.431,0.402070086,44.5,4617.27,7487.868333,8014.25,206,179.8333333,175,726.03,0.157242267,26.16666667,21873.7,25446.645,59908,1716,839.3333333,1765,8146.307,0.372424738,128,11364.04,11749.2,34256,942,379,1050,5146.729,0.452896065,70.83333333
312,13402.89,14513.76667,31494,845,382.3333333,733,4522.058,0.337394249,85.83333333,11854.96,17876.2,32902,566,382,506,1134.98,0.09573883,53.16666667,42239.04,48506.89833,91474,3215,1445.5,2584,16367.618,0.387499763,193.5,8895.96,8304.293333,16685.09,392,200,391,3527.98,0.396582269,32,4416.02,7862.3,13304,201,151.5,233,1989.42,0.450500677,34,1958.85,4177.753333,5038.88,145,132.1666667,112,-709.9,-0.362406514,11.33333333,13732.29,18756.73,35380,1217,634.6666667,1043,4311.986,0.314003418,108,9246.87,10830.36667,34444,737,353,1082,4543.474,0.491352641,57.5
313,14803.71,23253.83333,45096,936,572.8333333,1037,5031.516,0.339882097,116.8333333,18426.62,29638.06667,46855,889,596.8333333,719,1856.33,0.100741753,66.83333333,43744.26,51580.67667,109890,3251,1559,3142,17837.249,0.407762047,218.3333333,8668.5,9663.643333,18280.75,376,234.8333333,425,3365.75,0.388273634,33.16666667,4291.34,11341,17206,219,207.5,305,1673.352,0.389936943,44.33333333,8000.99,9465.54,13925.91,304,224.5,309,2288.5,0.286027104,23.5,18782.93,24777.82333,49880,1496,746.5,1382,7077.371,0.376798029,123.1666667,6932.54,13621.23333,26324,635,466.5,810,2814.721,0.406015833,73.33333333
314,30631.72,41986.56667,78378,1913,1109.833333,1747,10112.421,0.330129062,147.8333333,13195.48,22871.48333,39446,627,477.3333333,602,998,0.075631959,58.16666667,51456.77,58968.605,122056,4284,1930.333333,3523,18889.424,0.367093076,230.1666667,8396.6,8778.711667,18055.81,404,231.6666667,419,2816.35,0.335415525,34.83333333,16366.96,25550.33333,44334,778,528.1666667,783,7144.219,0.436502503,62.33333333,4841.46,6674.916667,6388.55,210,170.8333333,145,928.96,0.191876004,21,40888.35,41797.67167,104448,3483,1372.166667,3165,14634.029,0.357902165,137,13604.61,16046.2,39426,1255,566.5,1223,5389.225,0.396132267,78.83333333
315,14463.88,16969.5,44676,772,398.6666667,1026,6232.792,0.430921164,92.83333333,16027.38,27782.08333,49979,683,519,759,3121.97,0.194789791,63,39984.64,44740,97720,2792,1209.333333,2800,17647.986,0.441369136,202.1666667,8663.18,9181.818333,15932.31,355,215.3333333,369,3616.19,0.417420624,33,5223.7,9098.366667,17872,204,166.3333333,317,2863.953,0.548261386,39.83333333,3205.47,7396.68,5008.86,128,179,114,892.96,0.278573813,20.66666667,15652.92,20280.02167,45090,1255,634.3333333,1271,6021.729,0.384703237,116,7786.91,9789.866667,27232,607,317.5,832,3795.285,0.487392945,65.16666667
316,19821.69,33377.1,53336,1312,917.5,1225,6274.698,0.316557165,126,10280.48,21495.75,35851,478,461.3333333,547,1053.35,0.102461169,55.66666667,41817.14,59161.395,101044,3286,1857.166667,2985,16085.256,0.384657009,225.8333333,7942.86,9625.691667,16445.19,416,289.8333333,381,2015.62,0.253765017,32.16666667,7843.82,18081.63333,21096,402,366.6666667,370,3072.382,0.391694608,49.66666667,3638.02,7456.195,5485.76,180,199.6666667,124,415.01,0.114075788,20.16666667,23068.18,32148.66167,56876,1941,1081.666667,1609,7441.278,0.322577594,134.3333333,9174.12,13075.96667,31258,805,438.5,965,3860.303,0.42078183,65.66666667
317,20237.45,23225.8,54828,1205,602.3333333,1261,7587.163,0.374907066,115.8333333,15307.38,29259.66667,35189,778,572.1666667,533,744.88,0.048661495,67.16666667,55063.02,56411.435,124620,4080,1723.833333,3522,22360.217,0.406084101,224,13188.94,13158.25667,30154.99,596,314.1666667,701,4809.2,0.364638856,38,6919.75,11898.06667,22152,283,225.6666667,394,3514.421,0.507882655,42.5,6215.33,8172.711667,10365.64,268,200.1666667,236,1277.33,0.205512821,22,23436.46,26828.05833,65624,1893,858,1965,8601.151,0.366998728,126.1666667,11883.92,13955.7,36234,1003,450.5,1116,5299.272,0.445919528,72.33333333
318,23042.16,30073.06667,61944,1392,730.8333333,1408,8425.606,0.365660424,129.5,19947.15,28730.75,53898,809,499.5,846,4400.89,0.220627508,66.66666667,55903.17,63396.575,142922,4296,1929,4272,21502.468,0.384637723,230,10519.41,12528.49,24536.18,469,297.6666667,559,3678.16,0.349654591,37.66666667,7722.94,13099.96667,24182,335,242,427,3745.477,0.48498072,44.5,9995.54,9140.263333,20267.17,391,216.3333333,451,2594.05,0.259520746,20.33333333,30608.83,33537.195,75146,2314,1050.666667,2269,11685.788,0.38177833,137,11885.49,12449.86833,29686,1007,417.1666667,929,5415.914,0.45567444,68.5
319,14175.43,22126.86667,45770,946,613.5,1055,4393.767,0.309956523,114,11873.83,23321.83333,33635,582,512.3333333,527,749.57,0.063127904,63,41458.76,58832.26667,116290,3191,1805.666667,3390,15722.273,0.379226803,241.8333333,8411.35,10928.06167,21709.49,401,286.8333333,500,2651.86,0.315271627,37.33333333,5567.71,10523.56667,18142,250,199.5,321,2612.542,0.469230976,42,3000.12,5605.966667,6709.01,128,143.3333333,145,679.37,0.226447609,17.33333333,17398.39,24162.52,49540,1474,773.1666667,1531,6068.076,0.348772271,123.5,8191.34,13332.4,32228,676,441.1666667,1003,3718.35,0.453936719,68.66666667
320,17380.71,21295.6,51002,995,510.8333333,1170,6812,0.391928753,109,14511.95,20360.13333,34299,586,368.8333333,523,3215.61,0.221583591,62.83333333,43283.41,48314.72667,113964,3220,1415.666667,3327,18097.966,0.418127084,196.8333333,9755.01,12362.86333,24177.41,436,296.1666667,559,3536.78,0.362560366,35,5714.88,10738.9,20886,251,197.6666667,369,2778.093,0.486115719,37.5,7221.77,7725.65,10209.65,297,192.3333333,235,1669.76,0.231212016,18.16666667,23052.3,23272.03333,60340,1780,742.1666667,1730,8913.25,0.386653393,112,11825.32,11747.66667,33804,998,380.6666667,1041,5314.022,0.449376592,67.33333333
321,38578.04,48186.46667,106452,2313,1145.166667,2371,14054.024,0.364301141,144.6666667,20175.62,43038.38333,51885,949,808.3333333,793,2292.98,0.11365103,72.33333333,64928.55,76767.42833,154606,5361,2318.166667,4530,23921.302,0.368425015,234.1666667,14446.63,19129.41333,36714.49,658,461,851,5121.13,0.354486133,35.16666667,14021.52,23296.76667,45736,534,416.1666667,803,7553.035,0.53867448,61.83333333,10423.74,12147.73167,18459.79,435,294.3333333,421,2307.5,0.221369681,22.5,46625.16,59208.53,126196,3749,1864.166667,3708,16886.82,0.362182564,138.6666667,19364.61,21136.6,56814,1613,685.3333333,1751,8680.212,0.44825132,79
322,27426.97,38502.36667,80618,1696,923.8333333,1795,9417.819,0.343378033,142.1666667,25276.18,36459.78333,59599,1084,703.5,907,4661.66,0.184428976,69.16666667,68428.08,73796.34,170378,5394,2248,4854,26394.237,0.385722309,229.3333333,14512.54,17306.985,36204.61,668,425.1666667,839,5007.33,0.345034708,38.5,7828.99,16361.4,27338,337,308.5,480,3763.223,0.480677967,48.66666667,9343.98,10522.67667,18453.8,394,255.5,420,2008.98,0.215002601,23.5,34963.2,40127.83333,96812,2911,1307.833333,2885,12910.128,0.369249039,135.3333333,15349.13,14701.2,44504,1275,477.1666667,1351,6934.897,0.451810428,71.5
323,19643.82,27499.7,62662,1217,685.5,1403,6702.144,0.341183334,125.6666667,16453.27,27161.68333,37611,716,548.1666667,575,2766.93,0.168169002,66,51061.91,57252.59667,130674,3921,1699,3758,20479.975,0.401081256,225.8333333,11990.44,12680.99833,29120.24,542,298.6666667,676,4299.96,0.358615697,35.33333333,5857.39,12540.2,23858,277,231.5,418,2498.069,0.42648159,44.83333333,7084.24,9103.731667,11661.35,316,229.3333333,265,1356.72,0.191512428,24,23780.86,25972.26,63052,1946,776,1801,8513.492,0.35799765,126.5,14595.41,13158.96667,42502,1192,435.6666667,1309,6818.067,0.467137751,68.83333333
324,25176.59,33043.5,69316,1573,810.1666667,1544,8418.981,0.334397192,130.5,21644.91,32499.91667,50416,931,634.5,772,3916.74,0.180954321,66.16666667,60742.63,64495.635,142198,4566,1991.5,4075,24707.714,0.406760688,223.8333333,11787.49,13013.48333,27392.66,556,327.6666667,634,3819.98,0.324070689,38,7522.68,14518.06667,24842,327,268.1666667,437,3555.102,0.472584504,49.33333333,10058.82,9658.991667,17411.02,430,241.5,398,2044.33,0.203237557,22.33333333,29636.9,27928.26167,74092,2202,887.6666667,2152,11868.73,0.400471372,124.8333333,10986.6,10380.7,29842,928,353.5,912,4959.993,0.451458413,65.5
325,10853.92,15359.8,30878,715,404.1666667,714,3286.338,0.302778904,84.33333333,8310.26,15198.25,28719,416,309.8333333,439,441.62,0.053141538,47,30899.24,41277.09167,70428,2493,1304.5,2047,11472.976,0.371302854,199.6666667,5609.9,7743.45,10521.54,261,187.5,246,1959.65,0.349319952,30.33333333,3991.06,7996,13856,183,151,242,1770.929,0.443723973,32.5,2106.24,2908.136667,3509.22,139,88.16666667,78,-384.51,-0.182557543,9.5,13292.81,18973.325,33044,1175,641.5,959,4283.794,0.322263991,105.3333333,7595.31,7842.066667,22894,619,259.1666667,718,3612.513,0.475624168,62.33333333
326,19372.29,29891.2,54176,1143,718,1233,7053.087,0.364081221,127,22350.07,34865.75,72021,899,611.3333333,1097,4859.33,0.217419006,69,55168.31,61966.13333,129542,4108,1849.333333,3828,22918.071,0.415420936,218,12610.3,12770.90167,26408.87,558,305.3333333,613,4727.06,0.374857061,35.33333333,7112.84,11418.63333,20382,303,208.3333333,361,3581.541,0.503531782,42.16666667,9495.48,9792.848333,14480.69,379,238.5,331,2426.25,0.255516309,21.16666667,24999.43,27842.33167,61822,1974,864.3333333,1807,9691.044,0.387650598,126,10479.2,10295.36667,28174,884,343,884,4672.198,0.445854455,70
327,38024.13,48619.56667,101288,2197,1171.666667,2263,14486.665,0.3809861,152.3333333,35383.68,54091.13333,107679,1534,1107.5,1649,6093.78,0.172220074,66.83333333,60576.48,61970.66167,154384,4322,1884.666667,4436,25243.008,0.416713021,215.5,11347.12,16983.8,26513.91,514,405.5,609,3806.1,0.335424319,39,10527.94,16591.63333,30122,425,320,525,5378.84,0.510910966,45.16666667,10251.02,11234.59833,17277.07,409,279.8333333,393,2561.53,0.2498805,21.16666667,55185.51,56218.23167,139860,4127,1765.833333,4077,22499.713,0.40771052,139.6666667,17447.81,19461.9,50788,1324,640.6666667,1498,8406.696,0.481819552,90.5
328,23949.79,28673.83333,67522,1376,685.6666667,1506,9036.176,0.377296669,119.1666667,17519.52,25933,41010,761,492,622,2984.44,0.170349416,66.33333333,54668.41,51723.53167,136836,3969,1478.5,3922,22962.831,0.420038391,204.6666667,12466.33,11539.37,25533.1,550,278.3333333,590,4529.83,0.36336516,35.66666667,6416.72,14598.8,25296,298,266.5,447,2896.315,0.451370015,49.16666667,10190.66,8264.681667,14255.72,421,199.6666667,328,2345.15,0.230127391,20.33333333,30248.98,31240.91333,78798,2304,949.5,2281,11921.049,0.394097553,131.3333333,11783.58,10959.4,35506,993,348,1089,5317.765,0.451286027,64.16666667
329,36554.76,40763.8,88456,2151,1039.833333,1954,13207.661,0.36131166,147,26590.96,46180.13333,63929,1144,892.5,973,4734.26,0.178040206,69.33333333,68824.16,78659.73167,162930,5160,2438,4444,26489.312,0.384883913,248,19168.72,15093.74,36456.58,903,406.6666667,842,5962.84,0.31107137,37.16666667,8840.76,16410.86667,28848,426,300.5,509,3822.852,0.432412146,51.33333333,12431.75,10227.30333,21929.01,510,245.3333333,499,2806.25,0.225732499,21.33333333,42065.94,44292.08167,99208,3457,1565.833333,2894,15277.245,0.363173746,139.3333333,17112.91,14973.13333,42326,1395,495.5,1302,7844.542,0.458399068,74.33333333
330,19416.99,21747.83333,52742,1057,550.8333333,1195,8198.568,0.422236814,113,21751.12,29713.41667,47322,834,539.3333333,746,5536.11,0.254520687,67.83333333,48173.51,53642.75,98662,3625,1620.333333,2814,19446.857,0.403683622,220.3333333,9631.74,11964.32333,18781.68,418,294.3333333,432,3538.5,0.367379103,36,4593.04,11878.3,19088,206,223.8333333,333,2137.643,0.465409184,40,8959.65,8084.491667,12916.04,357,198,296,2265.17,0.252819028,21.16666667,25505.9,24849.39833,60244,1862,758.1666667,1719,10860.916,0.425819752,117.6666667,9268.7,10596.96667,24964,802,364.1666667,768,3997.794,0.431321976,69.16666667
331,31455.08,40895.66667,87380,1849,997.3333333,1951,11752.939,0.373642,138.5,20506.21,36251.1,52171,954,691.1666667,791,2115.58,0.103167772,68.66666667,67771.27,85495.26333,162158,5336,2574.166667,4712,26441.706,0.390160993,238.5,15040.07,16286.51833,31864.66,706,409,734,4843.33,0.322028421,39.33333333,9593.37,23453.1,36288,439,428.1666667,644,4317.003,0.449998593,60.83333333,9592.33,11677.67667,15719.38,418,285.6666667,362,1871.1,0.195062096,25.16666667,42646.33,43003.37167,110864,3241,1346.333333,3223,16704.354,0.391694995,137.5,15738.15,14378.9,42872,1334,475.8333333,1315,6907.948,0.438930116,73
